name,N,steps(opt=calcfc),steps(opt),time(opt=calcfc),time(opt),time(freq),dG,RMSD
antilla,70,14,20,108647.8,44569.9,42522.2,-1.00E-05,0.000804267
bach,56,13,16,43265.3,17877.1,15624,-1.90E-05,0.004274545
berkessel,48,19,20,31196.2,14927.1,9513.6,-6.00E-06,0.000669623
boscalid,35,12,15,15371.9,7775.6,5500.9,9.00E-06,0.000285979
cinchonidine,44,71,32,54193.9,20290.4,7098.6,-5.70E-05,0.00049244
gobel,60,35,20,83409,53982.2,41111.4,-0.006709,1.313353568
hexynoate,28,21,25,8336.7,6464.4,1785.8,-5.00E-06,0.000241015
inoue,37,13,19,14551.7,8964.7,4787.7,-5.10E-05,0.00090731
johnston,53,21,29,49665.4,28949.9,26953.3,0.00015,0.017180616
mikami,44,28,32,49575.3,29881.3,12550.2,-7.00E-06,0.000298571
nakano,85,14,18,121461.4,41999.9,46694.1,-4.00E-06,0.000263935
ricci,42,29,33,37162.3,23765.8,8480,0.000415,0.065203143
sasai,53,15,19,48254.8,21993.2,17290.5,0,0.000250843
segphos,72,81,79,261625,177638.3,41752.8,-1.00E-06,0.678850882
sulphon,42,26,23,38851.9,18499,9626.2,2.20E-05,0.016455595
superquat,41,12,15,17810.4,8966.4,6227.1,7.00E-06,0.001088099
takemoto,48,16,21,31498.5,16063.7,10081.3,3.50E-05,0.150462733
terada,58,12,18,61975.1,25881,24764.3,-5.00E-06,0.000295395
urea,69,38,71,121465.5,130737.8,30528.2,0.003225,0.132033069
yamamoto,30,17,38,6641.7,7557.2,1885.3,-1.10E-05,0.000214825
