name,dE,dG,RMSD
2a,-5.6327571655856445e-06,3.1999999976051186e-05,2.2089016136521984
2b,-1.9102391888736747e-05,7.000000010748408e-06,0.0005565464940145957
2c,1.0884559742407873e-06,-9.999999974752427e-07,0.00032808967270142386
2d,2.0952766135451384e-05,1.0000000031595846e-05,0.00042527265763664423
2e,4.7075691327336244e-06,-5.000000015797923e-06,0.00048227499071241075
2f,3.265367922722362e-07,-9.999999974752427e-07,8.101604779309073e-05
2g,0.06480630809801369,0.0025850000000104956,0.00803409385058453
2h,-5.224585038376972e-06,-1.9999999949504854e-06,0.0005222838308812772
2i,-3.074886080867145e-06,0.0,0.00015364634717426174
